,Name,Link,Description,Price,Timing
0,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner",https://www.holidify.com/images/bgImages/MANALI.jpg," Nestled in between the snow-capped slopes of the Pir Panjal and the Dhauladhar ranges, Manali is one of the most popular hill stations in the country. With jaw-dropping views, lush green forests, sprawling meadows carpeted with flowers, gushing blue streams, a perpetual fairy-tale like mist lingering in the air, and a persistent fragrance of pines and freshness -  Manali has been blessed with extraordinary scenic beauty. From museums to temples, from quaint little hippie villages to bustling upscale streets, river adventures to trekking trails, Manali has ever a reason to be the tourist magnet it is, all year round.","6,250",  October to June 
1,"Ooty, Tamil Nadu - Queen of the Nilgiris",https://www.holidify.com/images/bgImages/OOTY.jpg," The Blue Mountains have always been shrouded in mysticism, and Ooty is no exception to that. For every mountain lover, the very idea of travelling to the city known as the Queen of the Hills holds an allure like no other. Once regarded as the summer headquarters of the East India Company (and for a very good reason), Ooty, also known as Udagamandalam, is a hill station in Tamil Nadu which serves as a very popular tourist destination for anyone looking for a picturesque place to relax and unwind. Ooty is nestled amidst the Nilgiri hills at an altitude of 2,240 meters above sea level and enjoys a favourable climate all year round. ",,  Throughout the year 
2,"Darjeeling, West Bengal - Queen of The Himalayas",https://www.holidify.com/images/bgImages/DARJEELING.jpg," Jaw-dropping locales, mesmerising sunrises, the untouched beauty of the hills, the old-world charm of the past, and the welcoming smiles of the local people all add up to make Darjeeling one of the most beautiful hill stations in Eastern part of India. Spread over a steep mountain ridge, nestled amidst acres of lush green tea plantations, Darjeeling stands at the height of 2,050 meters above sea level, thus boasting of cool climes all year round. This scenic hill station is the perfect getaway for a romantic honeymoon and is just around 700 kilometres away from Kolkata.","8,375","  February to March, September to December "
3,"Leh Ladakh, Jammu & Kashmir",https://www.holidify.com/images/bgImages/LADAKH.jpg," A land like no other with superabundance of attractions to visit and phantasmagoric and fabulous landscapes, amazing people and culture, Ladakh is truly a heaven on Earth.","8,000",  Jun to Sep 
4,"Mussoorie, Uttarakhand - The queen of hill-stations",https://www.holidify.com/images/bgImages/MUSSOORIE.jpg," If your idea of the perfect holiday involves tranquil hills, untouched nature and a holiday experience that is unadulterated in the truest sense of the term, Mussoorie is the place you should be heading to. Nestled amidst the foothills of the Garhwal Himalayan ranges, Mussoorie, also known as Queen of The Hills, stands at an altitude of 7000 feet above sea level, and has a cool, pleasant climate throughout the year. The pristine, natural beauty of Mussoorie makes it a very popular choice of holiday for honeymooners. If you want to enjoy the beautiful sight of the rolling green slopes juxtaposed with the snow-capped peaks of the Himalayas, Mussoorie is the place for you to be.","8,499",  September to June 
5,"Auli, Uttarakhand - The skiing destination of India",https://www.holidify.com/images/bgImages/AULI.jpg," Dotted with the apple orchards, old oaks and pine trees there is no dearth of natural beauty in Auli. Apart from skiing you can also go for numerous treks in the hills of Garhwal Himalayas and enjoy the spellbinding views of the snow-draped mountains. Auli is a popular hill resort in the Himalayan range dating back to 8th Century AD.",,  Throughout the year 
6,"Shimla, Himachal Pradesh - The Hill-Station with Rich Colonial History",https://www.holidify.com/images/bgImages/SHIMLA.jpg," Probably the most popular hill station in northern India, Shimla is the capital city of Himachal Pradesh famous for its Mall road, the Ridge, toy train etc. among honeymooners and families alike.","7,000",  October to June 
7,"Gangtok, Sikkim - The Gateway to Sikkim",https://www.holidify.com/images/cmsuploads/compressed/view-of-gangtok-from-ganesh-tok_20180226140858.jpg," Extremely alluring, pleasantly boisterous and wreathed in clouds - Gangtok, the capital city of the Sikkim can also give you a spectacular view of Mt. Kanchenjunga, at a distant skyline. The pristine hill station nestled in mountains and clouds is also a base for a whole lot of trekkers to the Himalayan mountain ranges. The mesmerising prismatic beauty and the beautiful winding hill roads are even more breathtaking if seen from a bird's eye view in a cable car.","11,934",  Throughout the year 
8,"Srinagar, Jammu & Kashmir - The Paradise on Earth",https://www.holidify.com/images/bgImages/SRINAGAR.jpg," Famously known as ?Heaven on Earth?, Srinagar is every bit the epitome of paradise on earth. As picturesque as the most stunning painting to ever be painted, Srinagar, the capital of Jammu and Kashmir, lies on the banks of the Jhelum river, and has a cool, pleasant climate all year round, contributing to the perpetual influx of tourists visiting this city which offers a plethora of gorgeous scenic vistas.","4,514",  April to October 
9,"Mcleodganj, Himachal Pradesh - Land of His Holiness the Dalai Lama - Little Lhasa",https://www.holidify.com/images/bgImages/MCLEODGANJ.jpg," Mcleodganj is a hill station near Dharamshala, popular among trekkers. Its culture is a beautiful blend of Tibetan with some British influence.","10,000",  October to June 
10,"Kodaikanal, Tamil Nadu - The Princess of Hill Stations",https://www.holidify.com/images/bgImages/KODAIKANAL.jpg," Located in the state of Tamil Nadu, Kodaikanal is one of the most famous honeymoon destinations in India. When you think of Kodaikanal, you think of a wonderful climate, cliffs covered in mist, cloud-capped mountains and beautiful lakes and valleys, and once you visit this hill station, you will find that every bit of what you have imagined it to be is true. Nestled amidst the rolling slopes of the Palani Hills in Tamil Nadu, Kodaikanal stands at an altitude of 7200 feet above sea level and has a cool, pleasant climate all year round. Kodaikanal means the gift of the forests.",,  September to May 
11,"Munnar, Kerala - Tea Gardens, Lakes and Pretty little hill-station",https://www.holidify.com/images/bgImages/MUNNAR.jpg," The idyllic hill station Munnar - famous for its tea estates, exotic lush greenery and craggy peaks, is located in the Western Ghats, in the state of Kerala. It serves as the commercial centre for some of the world's largest tea estates. In addition, Munnar has many protected areas which are home to endemic and highly endangered species like the Nilgiri Thar and the Neelakurinji.","4,498",  September to May 
12,"Nainital, Uttarakhand - Misty lakes and mountains",https://www.holidify.com/images/bgImages/NAINITAL.jpg," One of the most beautiful tourist destinations in Uttarakhand, Nainital, which is nestled amidst the Kumaon Hills, is a quaint hill station built around a uniquely shaped lake known as the 'Naini Lake' (thus contributing to its name Nainital). Also famously known as 'City of Lakes,' Nainital abounds in natural beauty, with its snow-capped hills and tranquil lakes lending it a nostalgic charm of its own. Situated at an altitude of 1938 km above sea level, Nainital has a pleasant climate all year round, and can rightfully be called a picturesque paradise for all travel lovers.","9,000",  Throughout the year 
13,"Coorg, Karnataka - The Scotland of India",https://www.holidify.com/images/bgImages/COORG.jpg," Located amidst imposing mountains in Karnataka with a perpetually misty landscape, Coorg is the place to be for all nature lovers.  This popular coffee producing hill station is not only popular for its beautiful green hills and the streams cutting right through them. It also stands as a popular destination because of its culture and people. The Kodavas, a local clan specialising in martial arts, are especially notable for their keen hospitality. ",,  October to March 
14,"Gulmarg, Jammu & Kashmir - The Skiing School and Honeymoon",https://www.holidify.com/images/bgImages/GULMARG.jpg," Situated at an altitude of 2730 m above sea level, Gulmarg is surrounded by snow covered mountains, lush green meadows, deep ravines, evergreen forested hills and valleys.","11,000",  October to June 
15,"Kasol, Himachal Pradesh",https://www.holidify.com/images/bgImages/KASOL.jpg," A small village in Himachal situated along the banks of the river Parvati, Kasol is a tourist attraction that is rapidly gaining fame as a very popular hub for trekkers, backpackers, and nature lovers. Commonly known as the Amsterdam of India, this quaint little village is resplendent in natural scenic beauty, and is one of the few places in the country that is yet to be ruined by urbanization and commercialization. Situated between the towns of Bhuntar and Manikaran, Kasol might seem like a plain, nondescript village from the outside, but it is one of the best places in the country to just sit back and chill in the lap of nature.","6,500",  October to June 
16,"Mahabaleshwar, Maharashtra - The land of Strawberries",https://www.holidify.com/images/tooltipImages/MAHABALESHWAR.jpg," A hill town in Western Ghats, apart from its strawberries, Mahabaleshwar is also well known for its numerous rivers, magnificent cascades and majestic peaks.",,  October to June 
17,"Lonavala, Maharashtra - Misty Weekend Getaway",https://www.holidify.com/images/bgImages/LONAVALA.jpg," Popular hill station close to Pune and Mumbai, Lonavla is the place to be during monsoons. With lots of waterfalls, lakes and hills around, Lonavala is frequented by all sorts of people, especially hikers and trekkers.",,  Throughout the year 
18,"Mount Abu, Rajasthan - A beautiful hill station in Rajasthan",https://www.holidify.com/images/bgImages/MOUNT-ABU.jpg," The only hill station of Rajasthan, its cool atmosphere and lush green surroundings make it a major tourist spot within the state. The most important attraction, however, are undoubtedly the Dilwara temples, which is one of the most stunning piece of architecture in the country. If you are a history or architecture buff, this is one of the places you should absolutely not miss out in India.","5,207",  October to March 
19,"Pachmarhi, Madhya Pradesh - Queen of the Satpuras",https://www.holidify.com/images/bgImages/PACHMARHI.jpg," The only hill station in Madhya Pradesh, Pachmarhi is often known as the queen of the Satpura ranges.",,  Throughout the year 
20,"Dalhousie, Himachal Pradesh - Little Switzerland of India",https://www.holidify.com/images/tooltipImages/DALHOUSIE.jpg," The tiny tinsel town Dalhousie tucked away in the lap of Himachal Pradesh is a piece of paradise for all the travellers. It boasts of old world charm, mesmerising natural landscape, pine-clad valleys, flower bedecked meadows, fast flowing rivers, magnificent misty mountains and some of the most spectacular views in the world. The air smells of the Scottish and Victorian architecture and the ambience reminds you of the pristine British flavours.","9,000",  Throughout the year 
21,"Rishikesh, Uttarakhand - Yoga Capital of the World",https://www.holidify.com/images/bgImages/RISHIKESH.jpg," Situated along the convergence of Ganga and Chandrabhaga, Rishikesh on the foothills of Himalayas is the hub of many ancient temples, popular cafes, yoga ashrams and adventure sports.Rishikesh is the most beautiful blend of spiritual and adrenaline pumping experiences. With Whitewater Rafting industry growing and a number of camping and cafe spots springing up, Rishikesh has grown immensely as a favourite, catering to people with different needs.","6,396",  Throughout the year 
22,"Panchgani, Maharashtra - The Table Land",https://www.holidify.com/images/bgImages/PANCHGANI.jpg," Deriving its name from the five hills surrounding it, Panchgani is a popular hill station near Mahabaleshwar, famous for its various sunset/sunrise points and scenic valley view.",,  September to May 
23,"Matheran, Maharashtra - Cutest little hill-station of India",https://www.holidify.com/images/bgImages/MATHERAN.jpg," Nestled amidst the Sahyadri range on the Western Ghats, Matheran is a cosy little hill station that stands at an elevation of 2600 feet above sea level, and is just 100 kilometres away from Mumbai, making it the perfect weekend getaway. With its name literally translating to ?overhead forest?, Matheran is the smallest hill station in all of India, but it is extremely popular in terms of tourists looking for a short trip amid spectacular vistas and serenity.",,  Throughout the year 
24,"Saputara, Gujarat - The abode of serpents",https://www.holidify.com/images/bgImages/SAPUTARA.jpg," Snuggled in the Sahyadris or the Western Ghats, Saputara is a quaint little hill station in the Dang district of Gujarat. Popular for lush green forests, undulating mountains, dazzling waterfalls, dreamy winding roads, livid landscapes and plenty of charming cubbyholes to spend time with your loved ones, the town is the first favourite among tourists. It is located at a height of 875 metres above sea level and is a perfect getaway for eco-lovers, wildlife enthusiasts and people who love adventure sports.",,  Mid March to mid November 
25,"Patnitop, Jammu & Kashmir - Photographer's paradise",https://www.holidify.com/images/bgImages/PATNITOP.jpg," With endless meadows and panoramic views of the snow capped peaks of the Himalayas, Patnitop is a perfect place to experience nature at its picturesque best and widest.","7,000",  Throughout the year 
26,"Spiti, Himachal Pradesh",https://www.holidify.com/images/bgImages/SPITI.jpg," Long winding roads and picturesque valleys presenting glimpses of cold deserts and snow-crowned mountains, with intermittent greenery and picture-perfect villages welcome you when you set foot into Spiti Valley. Bordered on all sides by the Himalayas, Spiti Valley, located in Himachal Pradesh, has an altitude of 12,500 feet above sea level, and gets around 250 days of sunshine in the year, making it one of the coldest places in the country. With the thick Himalayan snow cutting Spiti off from the rest of the country for around 6 months a year, the summer months are the only time Spiti is directly accessible via motorway.","8,000",  Mid May to Mid Oct 
27,"Khajjiar, Himachal Pradesh - Mini Switzerland of India",https://www.holidify.com/images/bgImages/KHAJJIAR.jpg," Often referred to as 'mini-Switzerland of India', Khajjiar is a small town near Dalhousie which provides tourists a unique combination of forests, lakes and pastures.","15,000",  Throughout the year 
28,"Dharamsala, Himachal Pradesh",https://www.holidify.com/images/cmsuploads/compressed/DSCN6466_20180224234705.JPG, Dharamsala is famed as the holy residence of the Dalai Lama and houses the Tibetan monk in exile. Dharamsala is located in Kangra district at a distance of 18km fro Kangra City. The city is distinctively separated as upper and lower divisions with different altitudes. The lower division is the Dharamsala town itself whereas the upper division is popularly known as Mcleodganj.,"9,000",  October to June 
29,"Chikmagalur, Karnataka - The coffee land of Karnataka",https://www.holidify.com/images/bgImages/CHIKMAGALUR.jpg," If you love the aroma of freshly brewed coffee in the mornings, you are going to love Chikmagalur, which has a perpetual fragrance of coffee lingering in the air. Very famously known as the ?Coffee Land of Karnataka?, Chikmagalur is situated in the foothills of the Mullayangiri Range in Karnataka and stands at an altitude of 3400 feet. Famous for its tall mountains, lush green forests and its tranquil environment (apart from its coffee production), Chikmagalur is a very popular tourist destination and is a quaint getaway from the busy life of the city.",,  Throughout the year 
30,"Kasauli, Himachal Pradesh - Cozy little hill-station",https://www.holidify.com/images/tooltipImages/KASAULI.jpg," Located on the way from Chandigarh to Shimla, Kasauli is a hilly cantonment town which makes for an ideal peaceful holiday location, away from the rush.","8,000",  Throughout the year 
31,"Yercaud, Tamil Nadu - The Land of Seven Forests.",https://www.holidify.com/images/bgImages/YERCAUD.jpg," Nestled in the Eastern Ghats, Yercaud is a hill station called poor man's Ooty with abundant forests, vast coffee plantations and some unique species of flora and fauna resulting in gorgeous views.",,  October to June 
32,"Lansdowne, Uttarakhand - Quaint little hilly town",https://www.holidify.com/images/bgImages/LANSDOWNE.jpg," Perched amidst the Garhwal Hills of Uttarakhand, Lansdowne is a quaint little hill town that not many tourists know of. Off the beaten tourist trail, Lansdowne is an untouched, pristine town, miles away from the hustle and bustle of the city. Situated at 5670 feet above sea level, Lansdowne is more famously known for being home to the Garhwal Rifle regiment of the Indian Army. This hill station is neither commercialised nor heavily urbanised, making it the perfect getaway for anyone looking to take a break amidst peace and solitude.",,  Throughout the year 
33,"Shillong, Meghalaya - Scotland of the East",https://www.holidify.com/images/bgImages/SHILLONG.jpg," A beautiful city encircled by pine trees, Shillong is the capital of Meghalaya. It derives its name from Lei Shyllong, an idol worshipped at the Shillong Peak. Standing as tall as 1496 meters, Shillong provides a relief from the heat across the country. This hill station is known for its picturesque sights and traditions. The soothing climate makes Shillong suitable to visit in all seasons. The light drizzles and the cooling gentle wind adds to the joy of visiting this hill station. This place is also known as the ?Scotland of the East?. One can find descendants of the Khyrim, Mylliem, Maharam, Mallaisohmat, Bhowal and Langrim tribes.","5,476",  September to May 
34,"Wayanad, Kerala - Nature's Abode",https://www.holidify.com/images/cmsuploads/compressed/Wayanad_20180224231409.jpg," Replete with enchanting waterfalls, historical caves, comfortable resorts and home stays, this popular town is famous for its spice plantations and wildlife.",,  Throughout the year 
35,"Palampur, Himachal Pradesh",https://www.holidify.com/images/tooltipImages/PALAMPUR.jpg," With pine and deodar forests and tea gardens encircling the town and numerous streams pouring in, Palampur is known for the enchanting combination of water and greenery.","8,500",  Throughout the year 
36,"Kufri, Himachal Pradesh",https://www.holidify.com/images/bgImages/KUFRI.jpg," Kufri in Shimla district, Himachal Pradesh is one of the most sought after holiday destinations, and more so for couples, because of its proximity to Shimla and relatively higher altitude which makes it a place with snow all through the winters.","7,500",  November to March 
37,"Malshej Ghat, Maharashtra",https://www.holidify.com/images/bgImages/MALSHEJ-GHAT.jpg," A beautiful hill station with its numerous lakes, waterfalls and mountains, Malshej Ghat is popular among hikers, trekkers and nature lovers.",,  July to March 
38,"Madikeri, Karnataka - A picturesque getaway down south",https://www.holidify.com/images/bgImages/MADIKERI.jpg," Generally covered as a part of trips to Coorg, Madikeri is a quaint hill town in Karnataka with vast coffee plantations, lush forests and misty hills, all culminating into a breathtaking view.",,  February to September 
39,"Bir, Himachal Pradesh",https://www.holidify.com/images/bgImages/BIR.jpg," Bir is a small town located in the state of Himachal Pradesh in northern India. Bir Billing is a popular destination for adventures sports such as paragliding, treks and also as the town for meditation.","5,198",  Throughout the year 
40,"Bhandardara, Maharashtra",https://www.holidify.com/images/bgImages/BHANDARDARA.jpg," Bhandardara, a hill station nestled in the Sahyadri ranges of Maharashtra, has all the nature's blessings a place can get. The lush greenery, the humble waterfalls and surrounded by high mountains makes for the perfect holiday spot for city dwellers.",,  June to March 
41,"Yelagiri, Tamil Nadu - The Call of the Hills",https://www.holidify.com/images/bgImages/YELAGIRI.jpg," A quaint little hill station located in Vellore, Yelagiri is just three hours away from Bangalore, making it the perfect spot for a quick weekend getaway. Spread a little over 30 square kilometres, and at a height of over 1100 metres above sea level, Yelagiri offers its tourists some beautiful places like the Jalagamparai falls, sweeping orchards and rose garden, among others. The ideal destination for nature lovers, Yelagiri is a town that is completely off the beaten tourist trail, lending it a quieter and much more peaceful vibe compared to other more famous hill stations nearby. Originally belonging to the Zamindar family of Yelagiri, the hill station began to gain popularity since the colonial rule, when it was used by the British as a summer getaway. Ever since then, it has been one of the hidden gems of South India, replete with rocky hills and natural scenic beauty, making it the perfect place to take a break from the fast-paced city life.",,  November to February 
42,"Kudremukh, Karnataka - Close to the Nature's Face",https://www.holidify.com/images/bgImages/KUDREMUKH.jpg," With the promise of a picturesque view of a mountain in the shape of a horse face, Kudremukh is famous for its biodiversity and scenic beauty.",,  October to May 
43,"Tawang, Arunachal Pradesh - The birthplace of Dalai Lama",https://www.holidify.com/images/bgImages/TAWANG.jpg," Located at a height of about 3048m, is known for many important and beautiful monasteries and is famous as the birth place of Dalai Lama.","12,259",  September to March 
44,"Mukteshwar, Uttarakhand",https://www.holidify.com/images/bgImages/MUKTESHWAR.jpg," Mukteshwar is a small hill town mostly known for adventure sports such as rock climbing, rappelling etc. and the amazing view of Himalayan ranges you get from there.",,  October to June 
45,"Chamba, Himachal Pradesh - The land of Hill Kingdoms, Temples and Monasteries",https://www.holidify.com/images/tooltipImages/CHAMBA.jpg, Chamba is that one getaway you've always dreamed off. Minimal human alteration in the topography and environment and the balanced temperatures of the area make it the perfect destination all year round. The river Ravi cuts across town and adds to the scenery. Chambal is present at the confluence if Ravi river with Chal river.,"15,000",  October to June 
46,"Almora, Uttarakhand - A cozy heritage town nestled in the Himalayas.",https://www.holidify.com/images/tooltipImages/ALMORA.jpg," Cradled in the wilderness of Himalayan ranges, the sprawling town of Almora shaped like a horse-shoe is a hill station that boasts of a pre-British heritage and an adyllic vibe.","27,500",  Throughout the year 
47,"Coonoor, Tamil Nadu",https://www.holidify.com/images/tooltipImages/COONOOR.jpg," One of the most beautiful and serene hill stations you will come across in the country, Coonoor is the second largest hill station in the wonderful Nilgiri Hills of the Western Ghats. It is situated at an altitude of 1930 meters and just 19 km from Ooty.",,  October to March 
48,"Valley of Flowers, Uttarakhand - Serene valley of Flowers",https://www.holidify.com/images/bgImages/VALLEY-OF-FLOWERS.jpg," Valley of Flowers is located in Chamoli district (near Badrinath) of Uttarakhand, approximately 300 km to the north of Rishikesh. This is a picturesque national park, gracing the beauty of Western Himalayas.  Valley of flowers was discovered in 1931 and is a World Heritage Site for its wild untamed blooms surrounded by white peaks.",,  May to October 
49,"Ranikhet, Uttarakhand - The Queen's Farm",https://www.holidify.com/images/tooltipImages/RANIKHET.jpg," Ranikhet meaning Queen's farm, is a hill station developed by the Britishers around ancient temples, undulating Himalayan hills and forests.","9,000",  Throughout the year 
50,"Kalimpong, West Bengal",https://www.holidify.com/images/bgImages/KALIMPONG.jpg," Kalimpong is a virgin hill station in West Bengal renowned for its panoramic valley views, Buddhists monasteries and churches and Tibetan handicrafts etc.","11,934","  March to June, September to December "
51,"Khandala, Maharashtra",https://www.holidify.com/images/bgImages/KHANDALA.jpg," Perched on the foothills of Sahyadris, Khandala provides for a perfect weekend respite for the Mumbai population, with its scenic valleys, grassy hills, serene lakes and misty waterfalls.",,  Throughout the year 
52,"Idukki, Kerala",https://www.holidify.com/images/bgImages/IDUKKI.jpg," With remains of Chera dynasty, Vembolinad Kingdom, and European plantations in the later years, this rugged hill resort is best known for its wildlife sanctuaries, beautiful bungalows, tea factories, rubber plantations and forests. ","6,000",  Throughout the year 
53,"Araku valley, Visakhapatnam",https://www.holidify.com/images/attr_square/3902.png,,,
54,"Horsley Hills, Chittoor",https://www.holidify.com/images/attr_square/4413.jpg,,,
